Sample_ID,Group_ID,Language,Hate_Type,Text,Source_Dataset
237,89,Arabic,WOMEN,هذا هو السبب في أن النساء لا ينتمين إلى السياسة، إذا اشتكى رجل مثلهن، فسوف يطلق عليه جبان ويطلب منه مغادرة الوظيفة. المساواة كذبة والنسوية حكم بالإعدام لأي حضارة.,CONAN
238,90,Arabic,WOMEN,لقد انتصر النسويون. مع رفض العديد من النساء الإنجاب، سيتم استبدالنا وسنفقد حضارتنا.,CONAN
239,91,Arabic,JEWS,ماذا لو كان جميع حكامنا من المتحرشين بالأطفال الذين يسيطر عليهم اليهود؟ هذا سيفسر الكثير.,CONAN
240,92,Arabic,other,ربما يجب على الأمم المتحدة أن تتحدث مع تلك الدول الآسيوية والأفريقية المسؤولة عن أكثر من 90٪ من تلوث المحيطات بدلاً من الإصرار على هذا الهراء حول تغير المناخ.,CONAN
241,93,Arabic,other,ربما يجب على الأمم المتحدة أن تتحدث مع تلك الدول الآسيوية والأفريقية المسؤولة عن أكثر من 90٪ من تلوث المحيطات بدلاً من الإصرار على هذا الهراء حول تغير المناخ.,CONAN
242,94,Arabic,MIGRANTS,باكستان: 202 مليون نيجيريا: 193 مليون بنغلاديش: 165 مليون إثيوبيا: 107 مليون الكونغو: 84 مليون بريطانيا العظمى: 66 مليون 'الأقليات العرقية' لا تضحكني بحق الجحيم!,CONAN
243,95,Arabic,WOMEN,هذا هو السبب في أن النساء لا ينتمين إلى السياسة، إذا اشتكى رجل مثلهن، فسوف يطلق عليه جبان ويطلب منه مغادرة الوظيفة. المساواة كذبة والنسوية حكم بالإعدام لأي حضارة.,CONAN
244,96,Arabic,JEWS,اليهود قاموا بهجمات: يو إس إس ليبرتي، فندق الملك داود، نيويورك 9/11، لندن 7/7,CONAN
245,97,Arabic,JEWS,اليهود قاموا بهجمات: يو إس إس ليبرتي، فندق الملك داود، نيويورك 9/11، لندن 7/7,CONAN
246,98,Arabic,WOMEN,النساء مثل الأطفال في الأساس، يظللن هكذا معظم حياتهن. ناعمة وعاطفية. لقد دمر ذلك حضاراتنا الأبوية العظيمة.,CONAN
247,99,Arabic,LGBT+,يجب أن يكون الأمر صعبًا لكونك مثليًا. عليهم أن يفعلوا كل ما نفعله نحن وأيضًا يجدون وقتًا للتحرش بالأطفال.,CONAN
249,101,Arabic,JEWS,اليهودية العالمية لم تكن تريد البريكست وهم يفعلون كل ما في وسعهم لتخريبه.,CONAN
250,102,Arabic,JEWS,اليهودية العالمية لم تكن تريد البريكست وهم يفعلون كل ما في وسعهم لتخريبه.,CONAN
251,103,Arabic,WOMEN,النساء في الأساس كالطفلات، يظللن هكذا معظم حياتهن. ناعمة وعاطفية. لقد دمر ذلك حضاراتنا الأبوية العظيمة سابقًا.,CONAN
252,104,Arabic,MIGRANTS,عدد الأجانب الذين يحصلون على إعانات في المملكة المتحدة ارتفع بنسبة 41% خلال 5 سنوات والآن أكثر من 400 ألف يحصلون عليها. يجب أن يتوقف هذا الهراء.,CONAN
253,105,Arabic,MIGRANTS,التقطت هذه الصورة في وانستيد، شرق لندن. منطقة منازلها تتجاوز قيمتها المليون جنيه. متسولون في الشارع الرئيسي وشخص ينام على مقعد. لا نستطيع إيواء شعبنا ونستقبل ملايين آخرين. الإشارة إلى أن التشرد سببه الهجرة غير المنضبطة تُعتبر عنصرية.,CONAN
254,106,Arabic,JEWS,ما الفرق بين البقرة والمحرقة؟ تتوقف عن حلب البقرة بعد 70 سنة.,CONAN
255,107,Arabic,other,يضحكني هذا اللعين، لماذا لا يكون البيض متفوقين في دولة معظمها بيض؟ لماذا لا يشتكي أحد من تفوق السود في دول السود مثل الصومال؟ أو تفوق المكسيكيين؟ أو الهنود؟ فقط نحن من نتحمل هذا الهراء.,CONAN
256,108,Arabic,other,نشرت الحكومة البريطانية مؤخرًا ورقة حول 'الأضرار عبر الإنترنت' – بمعنى آخر، سيعملون مع منظمات يهودية ومسلمة لمكافحة الكراهية لفرض الرقابة على الإنترنت. (في إشارة إلى Tell Mama وCST وStop Hate UK),CONAN
257,109,Arabic,JEWS,ما الفرق بين البقرة والمحرقة؟ تتوقف عن حلب البقرة بعد 70 سنة.,CONAN
258,110,Arabic,JEWS,اليهود هم سبب اضطرار أمريكا لقبول أي قمامة تطرق بابها. يريدون لهذا البلد أن يصبح خليطًا غبيًا ليسهل حكمه بموافقة عبيدهم الجدد الصامتة.,CONAN
259,111,Arabic,WOMEN,لهذا السبب لا مكان للنساء في السياسة، لو اشتكى رجل مثلهن لوصفوه بالجبان وقالوا له اترك المنصب. المساواة كذبة والنسوية حكم بالإعدام على أي حضارة.,CONAN
260,112,Arabic,other,ربما يمكن للأمم المتحدة التحدث مع الدول الآسيوية والأفريقية المسؤولة عن أكثر من 90% من تلوث المحيطات بدلاً من الإصرار على هراء تغير المناخ.,CONAN
261,113,Arabic,JEWS,اليهود أسوأ من القنابل النووية. تعليق على صورة تُظهر هيروشيما 1945 والآن مقابل صور ديترويت 1945 والآن.,CONAN
262,114,Arabic,MIGRANTS,عدد الأجانب الذين يحصلون على إعانات في المملكة المتحدة ارتفع بنسبة 41% خلال 5 سنوات والآن أكثر من 400 ألف يحصلون عليها. يجب أن يتوقف هذا الهراء.,CONAN
263,115,Arabic,JEWS,لا يمكن لليهود أن يكونوا وطنيين، ولاؤهم دائمًا لدولة إسرائيل.,CONAN
264,116,Arabic,JEWS,إسرائيل والصهيونية وسيطرة اليهود المتفوقين على أمريكا هي الأسباب الرئيسية للإرهاب وعدم الاستقرار والصراع في العالم. كل النظريات الأخرى انحراف عن هذه الحقيقة المطلقة.,CONAN
265,117,Arabic,WOMEN,النساء في الأساس كالطفلات، يظللن هكذا معظم حياتهن. ناعمة وعاطفية. لقد دمر ذلك حضاراتنا الأبوية العظيمة سابقًا.,CONAN
266,118,Arabic,MIGRANTS,عدد الأجانب الذين يحصلون على إعانات في المملكة المتحدة ارتفع بنسبة 41% خلال 5 سنوات والآن أكثر من 400 ألف يحصلون عليها. يجب أن يتوقف هذا الهراء.,CONAN
267,119,Arabic,WOMEN,من أنت بحق الجحيم؟ سئمنا من كارهات الرجال اللواتي يحاولن تقويض الرجال البيض الأقوياء، وهن فقط غيورات وعاجزات وعديمات الفائدة.,CONAN
268,120,Arabic,WOMEN,النساء في الأساس كالطفلات، يظللن هكذا معظم حياتهن. ناعمة وعاطفية. لقد دمر ذلك حضاراتنا الأبوية العظيمة سابقًا.,CONAN
269,121,Arabic,other,يضحكني هذا اللعين، لماذا لا يكون البيض متفوقين في دولة معظمها بيض؟ لماذا لا يشتكي أحد من تفوق السود في دول السود مثل الصومال؟ أو تفوق المكسيكيين؟ أو الهنود؟ فقط نحن من نتحمل هذا الهراء.,CONAN
270,122,Arabic,WOMEN,بدأ انهيارنا حين سمحنا للنساء بالتصويت/التدخل في حضارات بنيناها وأبقيناها لآلاف السنين. طاقة ونمط تفكير مختلف تمامًا. هن ضعيفات وجعلن مجتمعنا ينخفض إلى مستواهن العاطفي الناعم.,CONAN
271,123,Arabic,JEWS,المتطرفون الصهاينة يتآمرون في القدس. أهدافهم خلق الفوضى والدمار والقتل، إنتاج المزيد من اللاجئين وتدمير أوروبا.,CONAN
272,124,Arabic,other,اليهودي الأمريكي، تمامًا مثل المسلم، غريب، ولاؤه لقبيلته الأصلية، يتظاهر بأنه عضو في المجتمع ليخرب الأعراف الثقافية والسياسية والاجتماعية. لسنا مضطرين للاختيار، من الجيد كرههم معًا.,CONAN
273,125,Arabic,LGBT+,وزير التعليم البريطاني: 'جميع الأطفال من سن 4 سنوات سيتلقون دروسًا إجبارية عن العلاقات المثلية.' – هذه ليست تعليمًا، بل تشويشًا وغسيل دماغ للأطفال لمنعهم من تطوير شخصياتهم.,CONAN
274,126,Arabic,LGBT+,منذ متى أصبح إساءة استخدام الشرج كعضو جنسي إنجازًا عظيمًا؟ هذه هي المثلية المفروضة من الدولة! ربما يجب أن نغير شعارنا إلى 'نثق في الربا واللواط' (ردًا على إلغاء بوتسوانا تجريم المثلية).,CONAN
275,127,Arabic,WOMEN,لهذا السبب لا مكان للنساء في السياسة، لو اشتكى رجل مثلهن لوصفوه بالجبان وقالوا له اترك المنصب. المساواة كذبة والنسوية حكم بالإعدام على أي حضارة.,CONAN
276,128,Arabic,MIGRANTS,باكستان: 202 مليون نيجيريا: 193 مليون بنغلاديش: 165 مليون إثيوبيا: 107 مليون الكونغو: 84 مليون بريطانيا: 66 مليون 'الأقليات العرقية' لا تضحكني بحق الجحيم.,CONAN
277,129,Arabic,MIGRANTS,باكستان: 202 مليون نيجيريا: 193 مليون بنغلاديش: 165 مليون إثيوبيا: 107 مليون الكونغو: 84 مليون بريطانيا: 66 مليون 'الأقليات العرقية' لا تضحكني بحق الجحيم.,CONAN
278,130,Arabic,MIGRANTS,التقطت هذه الصورة في وانستيد، شرق لندن. منطقة منازلها تتجاوز قيمتها المليون جنيه. متسولون في الشارع الرئيسي وشخص ينام على مقعد. لا نستطيع إيواء شعبنا ونستقبل ملايين آخرين. الإشارة إلى أن التشرد سببه الهجرة غير المنضبطة تُعتبر عنصرية.,CONAN
280,132,Arabic,other,ربما يمكن للأمم المتحدة التحدث مع الدول الآسيوية والأفريقية المسؤولة عن أكثر من 90% من تلوث المحيطات بدلاً من الإصرار على هراء تغير المناخ.,CONAN
282,134,Arabic,WOMEN,لقد انتصرت النسويات. مع وجود العديد من النساء غير الراغبات في الإنجاب سنُستبدل ونفقد حضارتنا.,CONAN
283,135,Arabic,WOMEN,النساء في الأساس كالطفلات، يظللن هكذا معظم حياتهن. ناعمة وعاطفية. لقد دمر ذلك حضاراتنا الأبوية العظيمة سابقًا.,CONAN
284,136,Arabic,JEWS,النازيون كانوا سيئين جدًا في قتل اليهود... في كل مكان ترى ناجين من المحرقة.,CONAN
285,137,Arabic,JEWS,'المحرقة' هي تجارة. استُخدمت ولا تزال تُستخدم لابتزاز ملايين التعويضات من الدول الأوروبية وخلق جدار حصانة يعمل خلفه اليهود دون نقد.,CONAN
286,138,Arabic,JEWS,النازيون كانوا سيئين جدًا في قتل اليهود... في كل مكان ترى ناجين من المحرقة.,CONAN
287,139,Arabic,LGBT+,وزير التعليم البريطاني: 'جميع الأطفال من سن 4 سنوات سيتلقون دروسًا إجبارية عن العلاقات المثلية.' – هذه ليست تعليمًا، بل تشويشًا وغسيل دماغ للأطفال لمنعهم من تطوير شخصياتهم.,CONAN
288,140,Arabic,WOMEN,النساء في الأساس كالطفلات، يظللن هكذا معظم حياتهن. ناعمة وعاطفية. لقد دمر ذلك حضاراتنا الأبوية العظيمة سابقًا.,CONAN
289,141,Arabic,WOMEN,النساء في الأساس كالطفلات، يظللن هكذا معظم حياتهن. ناعمة وعاطفية. لقد دمر ذلك حضاراتنا الأبوية العظيمة سابقًا.,CONAN
290,142,Arabic,LGBT+,وزير التعليم البريطاني: 'جميع الأطفال من سن 4 سنوات سيتلقون دروسًا إجبارية عن العلاقات المثلية.' – هذه ليست تعليمًا، بل تشويشًا وغسيل دماغ للأطفال لمنعهم من تطوير شخصياتهم.,CONAN
291,143,Arabic,LGBT+,منذ متى أصبح إساءة استخدام الشرج كعضو جنسي إنجازًا عظيمًا؟ هذه هي المثلية المفروضة من الدولة! ربما يجب أن نغير شعارنا إلى 'نثق في الربا واللواط' (ردًا على إلغاء بوتسوانا تجريم المثلية).,CONAN
292,144,Arabic,JEWS,'المحرقة' هي تجارة. استُخدمت ولا تزال تُستخدم لابتزاز ملايين التعويضات من الدول الأوروبية وخلق جدار حصانة يعمل خلفه اليهود دون نقد.,CONAN
293,145,Arabic,JEWS,'المحرقة' هي تجارة. استُخدمت ولا تزال تُستخدم لابتزاز ملايين التعويضات من الدول الأوروبية وخلق جدار حصانة يعمل خلفه اليهود دون نقد.,CONAN
294,146,Arabic,JEWS,'المحرقة' هي تجارة. استُخدمت ولا تزال تُستخدم لابتزاز ملايين التعويضات من الدول الأوروبية وخلق جدار حصانة يعمل خلفه اليهود دون نقد.,CONAN
295,147,Arabic,MIGRANTS,التقطت هذه الصورة في وانستيد، شرق لندن. منطقة منازلها تتجاوز قيمتها المليون جنيه. متسولون في الشارع الرئيسي وشخص ينام على مقعد. لا نستطيع إيواء شعبنا ونستقبل ملايين آخرين. الإشارة إلى أن التشرد سببه الهجرة غير المنضبطة تُعتبر عنصرية.,CONAN
296,148,Arabic,JEWS,تصوت الأقليات لتجريد البيض من ثرواتهم وسلطتهم وهم منظمون لفعل ذلك من قبل اليهود.,CONAN
297,149,Arabic,LGBT+,لقد تحملت مسيرات الفخر للمثليين. تحملت المثليين على التلفاز وفي كل ساحة مدينة. لكني أضع حدًا عند شياطين المتحولين يقرؤون كتبًا للأطفال. (عن وقت قصة ملكة السحب),CONAN
298,0,Chinese,other,也许联合国可以与那些负责90%以上海洋污染的亚洲和非洲国家谈谈，而不是一味坚持这套关于气候变化的废话。,CONAN
299,1,Chinese,JEWS,‘果汁（犹太人）比核弹还要糟糕。’ 这是一张 meme 的标题，显示了1945年和现在的广岛，以及1945年和现在的底特律的对比照片。,CONAN
300,2,Chinese,MIGRANTS,在过去五年里，英国领取福利的外国人数量激增了41%，现在有超过40万人领取福利。这种胡闹必须停止。,CONAN
301,3,Chinese,JEWS,犹太人不可能成为爱国者，因为他们的效忠永远属于以色列。,CONAN
302,4,Chinese,JEWS,以色列、犹太复国主义和犹太至上对美国的控制是世界上恐怖主义、不稳定和冲突的主要原因。所有其他理论都是对这个终极真理的转移。,CONAN
303,5,Chinese,WOMEN,女人基本上像孩子一样，她们大部分时间都是这样。柔弱而感性。这摧毁了我们曾经伟大的父权制文明。,CONAN
304,6,Chinese,MIGRANTS,在过去五年里，英国领取福利的外国人数量激增了41%，现在有超过40万人领取福利。这种胡闹必须停止。,CONAN
305,7,Chinese,POC,种族是社会构建的，如果你能看出这两个女人有什么不同，那是因为你有精神疾病。[图片显示一位金发的欧洲女运动员，与一位戴唇盘的非洲妇女并列],CONAN
306,8,Chinese,WOMEN,你他妈是谁？我们受够了这些阴道厌男者试图破坏强大的白人男性，而她们自己只是嫉妒、无能和无用的。,CONAN
307,9,Chinese,WOMEN,女人基本上像孩子一样，她们大部分时间都是这样。柔弱而感性。这摧毁了我们曾经伟大的父权制文明。,CONAN
308,10,Chinese,WOMEN,你他妈是谁？我们受够了这些阴道厌男者试图破坏强大的白人男性。她们只是嫉妒、无能和无用的。,CONAN
309,11,Chinese,other,真他妈可笑，为什么白人在一个主要是白人的国家里不该至高无上？怎么没人抱怨索马里这样的黑人国家里的黑人至上？或者墨西哥人的至上？或者印度人的至上？只有我们忍受这狗屁。,CONAN
310,12,Chinese,JEWS,奶牛和大屠杀有什么区别？70年后你会停止挤奶。,CONAN
311,13,Chinese,WOMEN,当我们允许女人投票/干涉我们建立和维持了数千年的文明时，我们开始崩溃。完全不同的能量和思维模式。她们很弱，把我们的社会拉到她们情感柔软的层面。,CONAN
312,14,Chinese,JEWS,犹太人喜欢为自己圈地，同时让他们的法官把白人社区填满社会住房。,CONAN
313,15,Chinese,JEWS,少数族裔投票剥夺白人的财富和权力，而这是犹太人组织起来的。,CONAN
314,16,Chinese,JEWS,以色列、犹太复国主义和犹太至上对美国的控制是世界上恐怖主义、不稳定和冲突的主要原因。所有其他理论都是对这个终极真理的转移。,CONAN
315,17,Chinese,JEWS,犹太人干的：攻击自由号，炸毁大卫王酒店，纽约9/11，伦敦7/7,CONAN
316,18,Chinese,JEWS,犹太复国主义极端分子在耶路撒冷密谋。他们的目标是制造混乱、屠杀、谋杀，制造更多难民，摧毁欧洲。,CONAN
317,19,Chinese,JEWS,如果我们的统治阶级全是受犹太人控制的恋童癖者怎么办？这能解释很多事情。,CONAN
318,20,Chinese,JEWS,全球犹太人不希望英国脱欧，他们正在尽一切可能破坏它。,CONAN
319,21,Chinese,JEWS,犹太人干的：攻击自由号，炸毁大卫王酒店，纽约9/11，伦敦7/7,CONAN
320,22,Chinese,other,美国犹太人，就像穆斯林一样，是外来者，忠于他们出生的部落，假装是群体成员以颠覆文化、政治和社会规范。我们不必选择，恨他们两个都可以。,CONAN
321,23,Chinese,other,美国犹太人，就像穆斯林一样，是外来者，忠于他们出生的部落，假装是群体成员以颠覆文化、政治和社会规范。我们不必选择，恨他们两个都可以。,CONAN
322,24,Chinese,LGBT+,英国教育大臣：‘所有4岁以上儿童将接受同性关系的必修课程。’——这不是教育，这是故意混淆和洗脑孩子，阻止他们发展自己的个性。,CONAN
323,25,Chinese,WOMEN,你他妈是谁？我们受够了这些阴道厌男者试图破坏强大的白人男性，而她们自己只是嫉妒、无能和无用的。,CONAN
324,26,Chinese,other,英国政府最近发布了一份关于‘网络危害’的文件——换句话说，他们将与犹太人和穆斯林反仇恨组织合作审查互联网。（指 Tell Mama、CST 和 Stop Hate UK）,CONAN
325,27,Chinese,LGBT+,自什么时候起滥用肛门作为性器官成了‘巨大的成就’？这是国家强制同性恋！也许我们应该把座右铭改成‘我们信仰高利贷和鸡奸’（回复博茨瓦纳将同性恋非刑罪化）,CONAN
326,28,Chinese,WOMEN,这就是为什么女人不属于政治，如果男人像她们那样抱怨，他会被称为懦夫并被赶出职位。平等是谎言，女权主义是任何文明的死刑。,CONAN
327,29,Chinese,MIGRANTS,巴基斯坦：2.02亿 尼日利亚：1.93亿 孟加拉国：1.65亿 埃塞俄比亚：1.07亿 刚果：8400万 英国：6600万 '少数族裔' 真他妈可笑！,CONAN
328,30,Chinese,LGBT+,英国教育大臣：‘所有4岁以上儿童将接受同性关系的必修课程。’——这不是教育，这是故意混淆和洗脑孩子，阻止他们发展自己的个性。,CONAN
329,31,Chinese,MIGRANTS,巴基斯坦：2.02亿 尼日利亚：1.93亿 孟加拉国：1.65亿 埃塞俄比亚：1.07亿 刚果：8400万 英国：6600万 '少数族裔' 真他妈可笑！,CONAN
330,32,Chinese,MIGRANTS,巴基斯坦：2.02亿 尼日利亚：1.93亿 孟加拉国：1.65亿 埃塞俄比亚：1.07亿 刚果：8400万 英国：6600万 '少数族裔' 真他妈可笑！,CONAN
331,33,Chinese,MIGRANTS,我在伦敦东部万斯特德拍的。这片地区的房子都价值一百万英镑以上。大街上有乞丐，有人睡在长椅上。我们无法安置自己的人，却引进了更多人。指出无家可归是由于不受控制的移民，就会被污蔑为‘种族主义者’。（照片说明：一名无家可归者睡在长椅上）,CONAN
332,34,Chinese,WOMEN,当你们这些动物毁了世界，开始互相吞食，因为这就是你们唯一擅长的事时，我们仍会在这里，竭尽全力保持我们的血统纯正，后悔当初听从女人的话，把脚从你们的喉咙上拿开。,CONAN
333,35,Chinese,other,也许联合国可以与那些负责90%以上海洋污染的亚洲和非洲国家谈谈，而不是一味坚持这套关于气候变化的废话。,CONAN
334,36,Chinese,JEWS,他们有权让电影被禁，导演被审查，这证明了犹太人控制了好莱坞。,CONAN
335,37,Chinese,WOMEN,女权主义者赢了。由于许多女性不愿生育，我们将被取代，失去文明。,CONAN
336,38,Chinese,WOMEN,女人基本上像孩子一样，她们大部分时间都是这样。柔弱而感性。这摧毁了我们曾经伟大的父权制文明。,CONAN
337,39,Chinese,JEWS,纳粹在杀犹太人方面太差劲了……到处都是大屠杀幸存者。,CONAN
338,40,Chinese,JEWS,纳粹在杀犹太人方面太差劲了……到处都是大屠杀幸存者。,CONAN
339,41,Chinese,JEWS,‘大屠杀’是一门生意。它曾经并仍在被用来向欧洲国家勒索数百万赔款，并为犹太人创造了一个免于批评、可以为所欲为的挡箭牌。,CONAN
340,42,Chinese,other,英国政府最近发布了一份关于‘网络危害’的文件——换句话说，他们将与犹太人和穆斯林反仇恨组织合作审查互联网。（指 Tell Mama、CST 和 Stop Hate UK）,CONAN
341,43,Chinese,JEWS,纳粹在杀犹太人方面太差劲了……到处都是大屠杀幸存者。,CONAN
342,44,Chinese,POC,种族是社会构建的，如果你能看出这两个女人有什么不同，那是因为你有精神疾病。[图片显示一位金发的欧洲女运动员，与一位戴唇盘的非洲妇女并列],CONAN
343,45,Chinese,LGBT+,英国教育大臣：‘所有4岁以上儿童将接受同性关系的必修课程。’——这不是教育，这是故意混淆和洗脑孩子，阻止他们发展自己的个性。,CONAN
344,46,Chinese,WOMEN,女人基本上像孩子一样，她们大部分时间都是这样。柔弱而感性。这摧毁了我们曾经伟大的父权制文明。,CONAN
345,47,Chinese,WOMEN,女人基本上像孩子一样，她们大部分时间都是这样。柔弱而感性。这摧毁了我们曾经伟大的父权制文明。,CONAN
346,48,Chinese,MIGRANTS,巴基斯坦：2.02亿 尼日利亚：1.93亿 孟加拉国：1.65亿 埃塞俄比亚：1.07亿 刚果：8400万 英国：6600万 '少数族裔' 真他妈可笑！,CONAN
347,49,Chinese,LGBT+,英国教育大臣：‘所有4岁以上儿童将接受同性关系的必修课程。’——这不是教育，这是故意混淆和洗脑孩子，阻止他们发展自己的个性。,CONAN
348,50,Chinese,other,英国政府最近发布了一份关于‘网络危害’的文件——换句话说，他们将与犹太人和穆斯林反仇恨组织合作审查互联网。（指 Tell Mama、CST 和 Stop Hate UK）,CONAN
349,51,Chinese,LGBT+,自什么时候起滥用肛门作为性器官成了‘巨大的成就’？这是国家强制同性恋！也许我们应该把座右铭改成‘我们信仰高利贷和鸡奸’（回复博茨瓦纳将同性恋非刑罪化）,CONAN
350,52,Chinese,WOMEN,女权主义者赢了。由于许多女性不愿生育，我们将被取代，失去文明。,CONAN
351,53,Chinese,JEWS,‘大屠杀’是一门生意。它曾经并仍在被用来向欧洲国家勒索数百万赔款，并为犹太人创造了一个免于批评、可以为所欲为的挡箭牌。,CONAN
352,54,Chinese,JEWS,‘大屠杀’是一门生意。它曾经并仍在被用来向欧洲国家勒索数百万赔款，并为犹太人创造了一个免于批评、可以为所欲为的挡箭牌。,CONAN
353,55,Chinese,JEWS,‘果汁（犹太人）比核弹还要糟糕。’ 这是一张 meme 的标题，显示了1945年和现在的广岛，以及1945年和现在的底特律的对比照片。,CONAN
354,56,Chinese,MIGRANTS,我在伦敦东部万斯特德拍的。这片地区的房子都价值一百万英镑以上。大街上有乞丐，有人睡在长椅上。我们无法安置自己的人，却引进了更多人。指出无家可归是由于不受控制的移民，就会被污蔑为‘种族主义者’。（照片说明：一名无家可归者睡在长椅上）,CONAN
355,57,Chinese,other,真他妈可笑，为什么白人在一个主要是白人的国家里不该至高无上？怎么没人抱怨索马里这样的黑人国家里的黑人至上？或者墨西哥人的至上？或者印度人的至上？只有我们忍受这狗屁。,CONAN
356,58,Chinese,JEWS,少数族裔投票剥夺白人的财富和权力，而这是犹太人组织起来的。,CONAN
357,59,Chinese,LGBT+,我容忍了同性恋骄傲。我容忍了电视和每个城镇广场上的同性恋。我不能容忍变性恶魔给孩子读书。（关于变装皇后故事时间）,CONAN
358,60,Chinese,JEWS,犹太复国主义极端分子在耶路撒冷密谋。他们的目标是制造混乱、屠杀、谋杀，制造更多难民，摧毁欧洲。,CONAN
359,61,Chinese,LGBT+,我容忍了同性恋骄傲。我容忍了电视和每个城镇广场上的同性恋。我不能容忍变性恶魔给孩子读书。（关于变装皇后故事时间）,CONAN
360,62,Chinese,JEWS,‘果汁（犹太人）比核弹还要糟糕。’ 这是一张 meme 的标题，显示了1945年和现在的广岛，以及1945年和现在的底特律的对比照片。,CONAN
361,63,Chinese,LGBT+,自什么时候起滥用肛门作为性器官成了‘巨大的成就’？这是国家强制同性恋！也许我们应该把座右铭改成‘我们信仰高利贷和鸡奸’（回复博茨瓦纳将同性恋非刑罪化）,CONAN
362,64,Chinese,JEWS,全球犹太人不希望英国脱欧，他们正在尽一切可能破坏它。,CONAN
363,65,Chinese,JEWS,犹太人不可能成为爱国者，因为他们的效忠永远属于以色列。,CONAN
364,66,Chinese,JEWS,犹太人唯一不恨的国家是自己的，他们正在用非洲人和穆斯林淹没欧洲。,CONAN
365,67,Chinese,JEWS,少数族裔投票剥夺白人的财富和权力，而这是犹太人组织起来的。,CONAN
366,68,Chinese,JEWS,奶牛和大屠杀有什么区别？70年后你会停止挤奶。,CONAN
367,69,Chinese,MIGRANTS,在过去五年里，英国领取福利的外国人数量激增了41%，现在有超过40万人领取福利。这种胡闹必须停止。,CONAN
368,70,Chinese,other,真他妈可笑，为什么白人在一个主要是白人的国家里不该至高无上？怎么没人抱怨索马里这样的黑人国家里的黑人至上？或者墨西哥人的至上？或者印度人的至上？只有我们忍受这狗屁。,CONAN
369,71,Chinese,other,英国政府最近发布了一份关于‘网络危害’的文件——换句话说，他们将与犹太人和穆斯林反仇恨组织合作审查互联网。（指 Tell Mama、CST 和 Stop Hate UK）,CONAN
370,72,Chinese,other,也许联合国可以与那些负责90%以上海洋污染的亚洲和非洲国家谈谈，而不是一味坚持这套关于气候变化的废话。,CONAN
371,73,Chinese,JEWS,犹太人不可能成为爱国者，因为他们的效忠永远属于以色列。,CONAN
372,74,Chinese,MIGRANTS,在过去五年里，英国领取福利的外国人数量激增了41%，现在有超过40万人领取福利。这种胡闹必须停止。,CONAN
373,75,Chinese,MIGRANTS,我在伦敦东部万斯特德拍的。这片地区的房子都价值一百万英镑以上。大街上有乞丐，有人睡在长椅上。我们无法安置自己的人，却引进了更多人。指出无家可归是由于不受控制的移民，就会被污蔑为‘种族主义者’。（照片说明：一名无家可归者睡在长椅上）,CONAN
374,76,Chinese,JEWS,犹太人不可能成为爱国者，因为他们的效忠永远属于以色列。,CONAN
375,77,Chinese,JEWS,他们有权让电影被禁，导演被审查，这证明了犹太人控制了好莱坞。,CONAN
376,78,Chinese,other,真他妈可笑，为什么白人在一个主要是白人的国家里不该至高无上？怎么没人抱怨索马里这样的黑人国家里的黑人至上？或者墨西哥人的至上？或者印度人的至上？只有我们忍受这狗屁。,CONAN
377,79,Chinese,JEWS,犹太人喜欢为自己圈地，同时让他们的法官把白人社区填满社会住房。,CONAN
378,80,Chinese,JEWS,犹太人唯一不恨的国家是自己的，他们正在用非洲人和穆斯林淹没欧洲。,CONAN
379,81,Chinese,LGBT+,做同性恋一定很难。他们必须做我们做的一切，还要抽时间猥亵儿童。,CONAN
380,82,Chinese,JEWS,全球犹太人不希望英国脱欧，他们正在尽一切可能破坏它。,CONAN
381,83,Chinese,LGBT+,我容忍了同性恋骄傲。我容忍了电视和每个城镇广场上的同性恋。我不能容忍变性恶魔给孩子读书。（关于变装皇后故事时间）,CONAN
382,84,Chinese,MIGRANTS,在过去五年里，英国领取福利的外国人数量激增了41%，现在有超过40万人领取福利。这种胡闹必须停止。,CONAN
383,85,Chinese,JEWS,犹太人唯一不恨的国家是自己的，他们正在用非洲人和穆斯林淹没欧洲。,CONAN
384,86,Chinese,MIGRANTS,我在伦敦东部万斯特德拍的。这片地区的房子都价值一百万英镑以上。大街上有乞丐，有人睡在长椅上。我们无法安置自己的人，却引进了更多人。指出无家可归是由于不受控制的移民，就会被污蔑为‘种族主义者’。（照片说明：一名无家可归者睡在长椅上）,CONAN
385,87,Chinese,MIGRANTS,我在伦敦东部万斯特德拍的。这片地区的房子都价值一百万英镑以上。大街上有乞丐，有人睡在长椅上。我们无法安置自己的人，却引进了更多人。指出无家可归是由于不受控制的移民，就会被污蔑为‘种族主义者’。（照片说明：一名无家可归者睡在长椅上）,CONAN
386,88,Chinese,other,真他妈可笑，为什么白人在一个主要是白人的国家里不该至高无上？怎么没人抱怨索马里这样的黑人国家里的黑人至上？或者墨西哥人的至上？或者印度人的至上？只有我们忍受这狗屁。,CONAN
387,89,Chinese,WOMEN,这就是为什么女人不属于政治，如果男人像她们那样抱怨，他会被称为懦夫并被赶出职位。平等是谎言，女权主义是任何文明的死刑。,CONAN
388,90,Chinese,WOMEN,女权主义者赢了。由于许多女性不愿生育，我们将被取代，失去文明。,CONAN
389,91,Chinese,JEWS,如果我们的统治阶级全是受犹太人控制的恋童癖者怎么办？这能解释很多事情。,CONAN
